"screenId","screenTitle","actionId","label","scope","visibility","request","operationId","destination","conditionalBranches","productionEffect","actor","guard","errors","offline","idempotency","confirmation"
"AUTH_LOGIN","Welcome back","AUTH_LOGIN.back","Back","back","","LOCAL navigate","","AUTH_WELCOME","[]","Return to previous allowed screen; retain draft/session state. Unsaved destructive exits ask before discarding.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_LOGIN","Welcome back","AUTH_LOGIN.01","Log in","screen","","EXTERNAL Cognito.signIn","","HOME","[[""PROFILE_SETUP"",""profile incomplete""],[""AUTH_VERIFY"",""email unverified""],[""UNAVAILABLE"",""account suspended""]]","Complete provider authentication, call account bootstrap, and route by onboarding state. Restore an authorized deferred link.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_LOGIN","Welcome back","AUTH_LOGIN.02","Forgot password","screen","","LOCAL navigate","","AUTH_RESET","[]","Preserve the current draft and open the destination.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_LOGIN","Welcome back","AUTH_LOGIN.03","Create account","screen","","LOCAL navigate","","AUTH_SIGNUP","[]","Preserve the current draft and open the destination.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_LOGIN","Welcome back","AUTH_LOGIN.04","Continue with Apple","screen","","EXTERNAL OIDC.authorizeApplePKCE","","AUTH_CALLBACK","[]","Launch native browser provider flow.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_LOGIN","Welcome back","AUTH_LOGIN.05","Continue with Google","screen","","EXTERNAL OIDC.authorizeGooglePKCE","","AUTH_CALLBACK","[]","Launch native browser provider flow.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_VERIFY","Verify email","AUTH_VERIFY.back","Back","back","","LOCAL navigate","","AUTH_SIGNUP","[]","Return to previous allowed screen; retain draft/session state. Unsaved destructive exits ask before discarding.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_VERIFY","Verify email","AUTH_VERIFY.01","Verify email","screen","","EXTERNAL Cognito.confirmSignUp","","PROFILE_SETUP","[]","Verify pending identity; establish session then bootstrap account. Offer explicit guest-data merge if eligible.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_VERIFY","Verify email","AUTH_VERIFY.02","Resend code","screen","","EXTERNAL Cognito.resendConfirmationCode","","","[]","Resend only after server cooldown; use a generic response and keep input screen.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_VERIFY","Verify email","AUTH_VERIFY.03","Change email","screen","","LOCAL navigate","","AUTH_SIGNUP","[]","Clear pending verification state; do not silently change a verified identity.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_RESET","Reset password","AUTH_RESET.back","Back","back","","LOCAL navigate","","AUTH_LOGIN","[]","Return to previous allowed screen; retain draft/session state. Unsaved destructive exits ask before discarding.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_RESET","Reset password","AUTH_RESET.01","Send reset code","screen","","EXTERNAL Cognito.forgotPassword","","AUTH_RESET_CONFIRM","[]","Request reset without account enumeration. Navigate to the same confirmation UI regardless of lookup result.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_RESET","Reset password","AUTH_RESET.02","Back to login","screen","","LOCAL navigate","","AUTH_LOGIN","[]","Preserve the current draft and open the destination.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_RESET_CONFIRM","Choose a new password","AUTH_RESET_CONFIRM.back","Back","back","","LOCAL navigate","","AUTH_RESET","[]","Return to previous allowed screen; retain draft/session state. Unsaved destructive exits ask before discarding.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_RESET_CONFIRM","Choose a new password","AUTH_RESET_CONFIRM.01","Save new password","screen","","EXTERNAL Cognito.confirmForgotPassword","","AUTH_LOGIN","[]","Validate code and password; clear recovery state. Require a fresh login and revoke sessions according to identity policy.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_RESET_CONFIRM","Choose a new password","AUTH_RESET_CONFIRM.02","Resend reset code","screen","","EXTERNAL Cognito.forgotPassword","","","[]","Respect cooldown and generic identity response.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_CALLBACK","Complete secure sign-in","AUTH_CALLBACK.back","Back","back","","LOCAL navigate","","AUTH_WELCOME","[]","Return to previous allowed screen; retain draft/session state. Unsaved destructive exits ask before discarding.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_CALLBACK","Complete secure sign-in","AUTH_CALLBACK.01","Complete provider callback","screen","","EXTERNAL OIDC.exchangeCodePKCE","","PROFILE_SETUP","[[""HOME"",""existing onboarded user""],[""AUTH_WELCOME"",""cancelled or invalid callback""]]","Validate pending state and exact redirect; exchange the code with the protected PKCE verifier. Then validate returned ID-token issuer, audience and nonce, bootstrap the account and securely save Bootstrap.sessionId for X-Device-Session on member calls.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_CALLBACK","Complete secure sign-in","AUTH_CALLBACK.02","Cancel sign-in","screen","","LOCAL navigate","","AUTH_WELCOME","[]","Discard pending state/verifier; leave guest session intact.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"LEGAL","Terms and privacy","LEGAL.back","Back","back","","LOCAL navigate","","AUTH_WELCOME","[]","Return to previous allowed screen; retain draft/session state. Unsaved destructive exits ask before discarding.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"LEGAL","Terms and privacy","LEGAL.01","Open selected document","screen","","LOCAL update","","","[]","Load the published legal document version in an accessible native web view. External links require explicit user action.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"LEGAL","Terms and privacy","LEGAL.02","Copy document link","screen","","LOCAL update","","","[]","Copy a public legal document URL without identity or session data.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"PROFILE_SETUP","Set up your profile","PROFILE_SETUP.back","Back","back","","LOCAL navigate","","AUTH_WELCOME","[]","Return to previous allowed screen; retain draft/session state. Unsaved destructive exits ask before discarding.","member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"PROFILE_SETUP","Set up your profile","PROFILE_SETUP.01","Continue","screen","","PATCH /v1/me","updateMe","FOOD_PREFS","[[""SETTINGS"",""existing profile edit""],[""FOOD_PREFS"",""first setup""]]","Reserve normalized handle, save profile and onboarding checkpoint; execute separately consented idempotent guest merge.","member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","Stable client operation ID for durable command; server idempotency record and transaction receipt. If-Match where versioned.","no"
"PROFILE_SETUP","Set up your profile","PROFILE_SETUP.02","Set preferences later","screen","","LOCAL navigate","","HOME","[]","Mark optional onboarding skipped; user can return via Settings.","member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"FOOD_PREFS","Food preferences","FOOD_PREFS.back","Back","back","","LOCAL navigate","","SETTINGS","[]","Return to previous allowed screen; retain draft/session state. Unsaved destructive exits ask before discarding.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"FOOD_PREFS","Food preferences","FOOD_PREFS.01","Save preferences","screen","","PATCH /v1/preferences","updatePreferences","EQUIPMENT","[[""SETTINGS"",""editing outside onboarding""],[""EQUIPMENT"",""first setup""]]","Persist structured IDs with preference revision. Invalidate stale plans and ask before replacing a currently cooking plan.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","Stable client operation ID for durable command; server idempotency record and transaction receipt. If-Match where versioned.","no"
"FOOD_PREFS","Food preferences","FOOD_PREFS.02","Skip for now","screen","","LOCAL navigate","","HOME","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"FOOD_PREFS","Food preferences","FOOD_PREFS.nav0","Today","navigation","","LOCAL navigate","","TODAY","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"FOOD_PREFS","Food preferences","FOOD_PREFS.nav1","Cook","navigation","","LOCAL navigate","","HOME","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"FOOD_PREFS","Food preferences","FOOD_PREFS.nav2","Cookbook","navigation","","LOCAL navigate","","COOKBOOK","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"FOOD_PREFS","Food preferences","FOOD_PREFS.nav3","Inbox","navigation","","LOCAL navigate","","INBOX","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"FOOD_PREFS","Food preferences","FOOD_PREFS.nav4","My Plate","navigation","","LOCAL navigate","","PROFILE_PLATE","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"EQUIPMENT","Your kitchen setup","EQUIPMENT.back","Back","back","","LOCAL navigate","","FOOD_PREFS","[]","Return to previous allowed screen; retain draft/session state. Unsaved destructive exits ask before discarding.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"EQUIPMENT","Your kitchen setup","EQUIPMENT.01","Save kitchen setup","screen","","PATCH /v1/preferences","updatePreferences","HOME","[[""SETTINGS"",""editing outside onboarding""],[""HOME"",""first setup""]]","Update equipment and serving defaults; complete optional onboarding.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","Stable client operation ID for durable command; server idempotency record and transaction receipt. If-Match where versioned.","no"
"EQUIPMENT","Your kitchen setup","EQUIPMENT.02","Finish without defaults","screen","","LOCAL navigate","","HOME","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"EQUIPMENT","Your kitchen setup","EQUIPMENT.nav0","Today","navigation","","LOCAL navigate","","TODAY","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"EQUIPMENT","Your kitchen setup","EQUIPMENT.nav1","Cook","navigation","","LOCAL navigate","","HOME","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"EQUIPMENT","Your kitchen setup","EQUIPMENT.nav2","Cookbook","navigation","","LOCAL navigate","","COOKBOOK","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"EQUIPMENT","Your kitchen setup","EQUIPMENT.nav3","Inbox","navigation","","LOCAL navigate","","INBOX","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"EQUIPMENT","Your kitchen setup","EQUIPMENT.nav4","My Plate","navigation","","LOCAL navigate","","PROFILE_PLATE","[]","Preserve the current draft and open the destination.","guest-or-member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"NOTIFICATION_PERMISSION","Stay in the loop","NOTIFICATION_PERMISSION.back","Back","back","","LOCAL navigate","","NOTIFICATIONS","[]","Return to previous allowed screen; retain draft/session state. Unsaved destructive exits ask before discarding.","member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"NOTIFICATION_PERMISSION","Stay in the loop","NOTIFICATION_PERMISSION.01","Enable notifications","screen","","EXTERNAL OS.requestPushPermission","","NOTIFICATIONS","[]","Request OS permission once in context; register device token only after permission result and verified user.","member","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
