"featureId","feature","phase","document","screens","operations"
"F19","Private Cookbook","P1","features/F19.md","RECIPE;COOKBOOK;COLLECTION;COLLECTION_EDIT","listSavedRecipes;saveRecipe;getSavedRecipe;deleteSavedRecipe;listCollections;createCollection;getCollection;updateCollection;deleteCollection;addCollectionItem;removeCollectionItem;savePostRecipe"
"F20","Use It Again","P1","features/F20.md","MEAL_DONE;REUSE","createReuseOptions"
"F21","Today","P1","features/F21.md","TODAY;STORY;CAPTURE;PUBLISH_STATUS;DELETE_POST;UNAVAILABLE","getMediaAccess;getToday;publishPost;getPost"
"F22","My Plate","P1","features/F22.md","PROFILE_PLATE;POST;DELETE_POST","getMediaAccess;publishPost;getPost;updatePost;getProfilePlate"
"F23","Kitchen Circles","P1","features/F23.md","INVITE_ACCEPT;CIRCLES;CIRCLE;CIRCLE_CREATE;CIRCLE_MEMBERS;INVITE;PEOPLE_PICKER","listCircles;createCircle;getCircle;updateCircle;deleteCircle;listCircleMembers;updateCircleMember;removeCircleMember;createInvitation;previewInvitation;acceptInvitation;revokeInvitation;leaveCircle;transferCircleOwnership"
"F24","Recipe Attachments","P1","features/F24.md","POST;EDIT_MEDIA;ATTACH_RECIPE;REVIEW_ATTACHMENT;PUBLISH_STATUS","publishPost;getPost;createPostDraft;updatePostDraft"
"F25","Your Take","P1","features/F25.md","MEAL_DONE;POST;CAPTURE;REVIEW_ATTACHMENT;REMIX_TRAIL","publishPost;getRemixTrail"
"F26","Remix Trail","P1","features/F26.md","POST;REMIX_TRAIL","getRemixTrail"
"F27","Reactions","P1","features/F27.md","STORY;POST","setReaction;removeReaction"
"F28","Private Replies","P1","features/F28.md","INBOX;THREAD;PEOPLE_PICKER","listThreads;createThread;getThread;listMessages;sendMessage;markThreadRead"
"F29","Ask for Recipe","P1","features/F29.md","STORY;ATTACH_RECIPE;THREAD;RECIPE_REQUEST","requestRecipe;getRecipeRequest;cancelRecipeRequest;respondToRecipeRequest"
"F30","Recipe Saving Permissions","P1","features/F30.md","STORY;POST;SAVE_PERMISSION;DELETE_POST","publishPost;updatePost;savePostRecipe;updatePostDraft"
"F31","Share Composer","P1","features/F31.md","CAPTURE;EDIT_MEDIA;AUDIENCE;SAVE_PERMISSION;PUBLISH_STATUS","prepareMediaUpload;completeMediaUpload;getMediaStatus;deleteDraftMedia;publishPost;createPostDraft;listPostDrafts;getPostDraft;updatePostDraft;deletePostDraft"
"F32","Fridge SOS","P2","features/F32.md","SOS_CREATE;SOS_DETAIL","createSOS;getSOS;updateSOS;replyToSOS;resolveSOS;deleteSOSReply"
"F33","Tonight","P2","features/F33.md","COOKBOOK;TONIGHT","listPlans;adaptPlan;getSavedRecipe"
"F34","Dinner Pact","P3","features/F34.md","PACT_CREATE;PACT_DETAIL;PEOPLE_PICKER","createInvitation;acceptInvitation;createPact;getPact;cancelPact;reschedulePact;respondToPact"
"F35","Bring a Bit","P3","features/F35.md","POTLUCK_CREATE;POTLUCK_DETAIL;CONTRIBUTION;PEOPLE_PICKER","createInvitation;acceptInvitation;createPotluck;getPotluck;updatePotluck;cancelPotluck;respondToPotluck;listContributions;addContribution;claimContribution;removeContribution;planPotluck;confirmPotluck;claimPotluckContribution"
"F36","Shortcut Swap","P3","features/F36.md","SHORTCUT_CREATE;SHORTCUT_DETAIL","createShortcut;getShortcut;deleteShortcut;saveShortcut;setShortcutHelpful"
"F37","Dinner Vote","P3","features/F37.md","POLL_CREATE;POLL_DETAIL","createPoll;getPoll;voteInPoll;removePollVote;closePoll"
"F38","Short Clips","P3","features/F38.md","CAPTURE;PUBLISH_STATUS;VIDEO_EDIT;ADMIN_FLAGS","prepareMediaUpload;completeMediaUpload;getMediaStatus;deleteDraftMedia;getMediaAccess"
"F39","Private Cooking Preferences","P1","features/F39.md","FOOD_PREFS;PANTRY;MEMORY;SETTINGS;PRIVACY","getPreferences;updatePreferences;getPrivacySettings;updatePrivacySettings"
"F40","Audience Controls","P1","features/F40.md","AUDIENCE;CIRCLE;CIRCLE_MEMBERS;PRIVACY","getMediaAccess;getPost;updatePost;deleteCircle;removeCircleMember;updatePostDraft;leaveCircle;getPrivacySettings;updatePrivacySettings"
"F41","Notifications","P1","features/F41.md","NOTIFICATION_PERMISSION;INBOX;SETTINGS;NOTIFICATIONS","listNotifications;markNotificationRead;registerPushDevice;getNotificationSettings;updateNotificationSettings;markNotificationsRead;getPrivacySettings;updatePrivacySettings"
"F42","Delete Mute Block Report","P1","features/F42.md","PRIVACY;BLOCKED;REPORT;DELETE_POST;SUPPORT;UNAVAILABLE;ADMIN_REPORTS;ADMIN_CASE;CONFIRM_ACTION","deletePost;listBlocks;blockUser;unblockUser;listMutes;muteTarget;unmuteTarget;createReport;getMyReport;deleteSOSReply"
"F43","Optional Participation","P1","features/F43.md","AUTH_WELCOME;HOME;TODAY;OFFLINE","createGuestSession;mergeGuest"
"F44","Household Preferences","P3","features/F44.md","HOUSEHOLDS;HOUSEHOLD_MEMBER;HOUSEHOLD_PREFS;PAYWALL;MANAGE_PLAN;ADMIN_FLAGS","createInvitation;acceptInvitation;revokeInvitation;listHouseholds;createHousehold;getHousehold;updateHousehold;deleteHousehold;listHouseholdMembers;removeHouseholdMember;getHouseholdPreferences;updateHouseholdKitchen;updateHouseholdPreferences;getEntitlements;getHouseholdKitchen"
"F45","Expanded Personal Library","P3","features/F45.md","COOKBOOK;COLLECTION;COLLECTION_EDIT;PAYWALL;MANAGE_PLAN","listCollections;createCollection;getCollection;updateCollection;deleteCollection;addCollectionItem;removeCollectionItem;getEntitlements;reorderCollection"
"F46","Reviewed Situation Packs","P3","features/F46.md","PACK_STORE;PACK_DETAIL;PAYWALL;MANAGE_PLAN;ADMIN_PACK","listPacks;getPack;getEntitlements;adminListPacks;adminCreatePack;adminUpdatePack;adminPublishPack;adminWithdrawPack"
"F47","Signup Login Recovery","P1","features/F47.md","AUTH_WELCOME;AUTH_SIGNUP;AUTH_LOGIN;AUTH_VERIFY;AUTH_RESET;AUTH_RESET_CONFIRM;AUTH_CALLBACK;LEGAL;INVITE_ACCEPT;SETTINGS;DELETE_ACCOUNT;SESSIONS;ADMIN_LOGIN","createGuestSession;mergeGuest;bootstrapAccount;previewInvitation;acceptInvitation;listSessions;revokeSession;logoutSession;revokeAllSessions"
"F48","Profile Onboarding","P1","features/F48.md","PROFILE_SETUP;FOOD_PREFS;EQUIPMENT;NOTIFICATION_PERMISSION;PROFILE_PLATE;SETTINGS","bootstrapAccount;getMe;updateMe;prepareMediaUpload"
"F49","Account Data Privacy","P1","features/F49.md","LEGAL;SETTINGS;PRIVACY;DELETE_ACCOUNT;SESSIONS;EXPORT;SUPPORT;ADMIN_AUDIT;CONFIRM_ACTION","listSessions;revokeSession;requestAccountExport;requestAccountDeletion;getJob;createSupportTicket;revokeAllSessions;getPrivacySettings;updatePrivacySettings"
"F50","Billing Entitlements","P1","features/F50.md","SETTINGS;PAYWALL;PURCHASE_STATUS;MANAGE_PLAN;ADMIN_FLAGS;ADMIN_PACK","listPacks;getPack;getEntitlements;reconcileEntitlements;receiveRevenueCatWebhook;getJob"
"F51","Content Administration","P1","features/F51.md","ADMIN_LOGIN;ADMIN_HOME;ADMIN_RECIPE;ADMIN_REVIEW;ADMIN_SUBSTITUTION;ADMIN_AUDIT;ADMIN_PACK","adminListRecipes;adminCreateRecipe;adminGetRecipe;adminUpdateRecipe;adminSubmitRecipe;adminReviewRecipe;adminPublishRecipe;adminRecallRecipe;adminListSubstitutions;adminCreateSubstitution;adminUpdateSubstitution;adminReviewSubstitution;adminListAudit;adminListPacks;adminCreatePack;adminUpdatePack;adminPublishPack;adminWithdrawPack"
"F52","Moderation Operations","P1","features/F52.md","REPORT;ADMIN_LOGIN;ADMIN_HOME;ADMIN_REPORTS;ADMIN_CASE;ADMIN_AUDIT","createReport;adminListReports;adminGetCase;adminActOnCase;adminListAudit;adminClaimReport;adminActOnReport;adminRecordAppeal;adminRestrictAccount;adminExportAudit"
"F53","Navigation Offline Deep Links","P1","features/F53.md","AUTH_WELCOME;AUTH_CALLBACK;INVITE_ACCEPT;COOK;TIMER;INVITE;UNAVAILABLE;OFFLINE;CONFIRM_ACTION","getClientConfig"
"F54","Telemetry Reliability","P1","features/F54.md","ADMIN_HOME;ADMIN_AUDIT;ADMIN_FLAGS;ADMIN_INCIDENT","createSupportTicket;getClientConfig;getServiceHealth;adminListAudit;adminListFlags;adminUpdateFlag;adminListIncidents;adminCreateIncident;adminUpdateIncident;adminGetHealth;adminExportAudit;adminProposeFlagChange;adminGetFlagChange;adminApplyFlagChange;adminDisableFlag;adminPauseMedia;adminReplayEvents"
